CITY,COUNTRY,STATE
Reims,France,Grand Est
Reims,France,Grand Est
Reims,France,Grand Est
Reims,France,Grand Est
Reims,France,Grand Est
Reims,France,Grand Est
Reims,France,Grand Est
Reims,France,Grand Est
Reims,France,Grand Est
Reims,France,Grand Est
Reims,France,Grand Est
Reims,France,Grand Est
Reims,France,Grand Est
Reims,France,Grand Est
Reims,France,Grand Est
Reims,France,Grand Est
Reims,France,Grand Est
Reims,France,Grand Est
Reims,France,Grand Est
Reims,France,Grand Est
Reims,France,Grand Est
Reims,France,Grand Est
Reims,France,Grand Est
Reims,France,Grand Est
Reims,France,Grand Est
Reims,France,Grand Est
Reims,France,Grand Est
Reims,France,Grand Est
Reims,France,Grand Est
Reims,France,Grand Est
Reims,France,Grand Est
Reims,France,Grand Est
Reims,France,Grand Est
Reims,France,Grand Est
Reims,France,Grand Est
Reims,France,Grand Est
Reims,France,Grand Est
Reims,France,Grand Est
Reims,France,Grand Est
Reims,France,Grand Est
Reims,France,Grand Est
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
Paris,France,Île-de-France
